"Fort Wayne, IN",Rochester NY,"New York, NY","Los Angeles, CA","Chicago, IL","Houston, TX","Tampa, FL","Dallas, TX","Columbus, OH","Indianapolis, IN","Portland, OR","Muskegon, MI","Durham, NC"
46835,14621,11368,90011,60629,77036,33647,75217,43229,46201,97206,49442,27713
46804,14609,10025,91331,60618,77072,33604,75211,43204,46202,97202,49441,27707
46815,14620,10467,91342,60623,77077,33611,75228,43207,46203,97219,49444,27705
46825,14611,11208,91335,60632,77081,33612,75227,43228,46204,97236,49440,27703
46806,14607,11220,90026,60639,77080,33610,75243,43201,46205,97266,49445,27704
46805,14613,11226,91402,60647,77099,33607,75216,43224,46208,97211,49443,27701
46808,14619,11373,90003,60608,77057,33629,75287,43235,46214,97217,,27712
46807,14605,11385,90019,60617,77009,33603,75220,43232,46216,97203,,27517
46816,14608,10456,90044,60625,77055,33606,75231,43219,46217,97213,,27560
46818,14606,11207,90004,60634,77074,33605,75206,43214,46218,97220,,27503
46802,14615,11211,90006,60620,77075,33609,75214,43026,46219,97230,,27706
46803,14612,11214,90037,60628,77035,33617,75224,43223,46220,97233,,27708
46809,14610,11219,90042,60641,77042,33616,75248,43206,46221,97212,,27710
46845,14604,11230,91343,60614,77087,33602,75229,43202,46222,97214,,27711
46819,14614,11234,90034,60609,77004,33614,75208,43211,46224,97215,,27709
46814,14616,11236,90731,60619,77034,33619,75238,43227,46225,97201,,27702
46774,14618,11355,91605,60640,77063,33621,75232,43081,46226,97216,,27715
46897,14603,11377,90744,60651,77076,33613,75204,43110,46227,97209,,27717
46801,14617,10002,91344,60657,77082,33615,75230,43119,46228,97218,,27722
46850,14622,10314,91406,60630,77092,33618,75241,43230,46229,97239,,
46851,14623,10453,90016,60622,77096,33624,75212,43231,46231,97232,,
46852,14624,10458,90018,60626,77339,33625,75240,43209,46234,97210,,
46853,14625,11204,90024,60638,77007,33626,75252,43004,46235,97221,,
46854,14626,11206,90033,60643,77008,33634,75254,43016,46236,97205,,
46855,14638,11212,90066,60613,77017,33635,75218,43068,46237,97229,,
46856,14639,11221,91304,60616,77045,33637,75219,43123,46239,97227,,
46857,14642,11223,91352,60637,77079,33690,75253,43213,46240,97204,,
46858,14643,11229,91405,60644,77088,33620,75235,43220,46241,97223,,
46859,14644,11235,90027,60645,77022,33633,75237,43205,46250,97231,,
46860,14645,10029,90032,60649,77023,33650,75203,43215,46254,97035,,
46861,14646,10452,90057,60660,77060,33651,75236,43017,46256,97086,,
46862,14647,10457,90065,60615,77016,33655,75215,43221,46259,97222,,
46863,14649,10462,91306,60636,77033,33660,75223,43054,46260,97034,,
46864,14650,10468,91606,60652,77053,33661,75233,43085,46268,97080,,
46865,14651,11203,90007,60610,77018,33662,75209,43210,46278,97224,,
46866,14652,11218,90025,60624,77020,33663,75249,43203,46280,97225,,
46867,14653,10009,90005,60659,77021,33664,75225,43212,46282,97258,,
46868,14664,10463,90020,60621,77025,33601,75201,43065,46290,97267,,
46869,14673,10466,90029,60612,77061,33608,75207,43222,46209,97299,,
46885,14683,10469,90031,60611,77062,33622,75244,43125,46210,97251,,
46895,14694,10472,90036,60653,77093,33623,75210,43147,46211,97252,,
46896,14627,11209,90045,60655,77345,33630,75205,43035,46213,97253,,
46898,14602,11210,91367,60631,77026,33631,75226,43240,46223,97254,,
46899,14692,11213,91401,60646,77043,33646,75234,43217,46249,97255,,
,,11215,91601,60656,77054,33672,75246,43082,46255,97256,,
,,11233,90002,60605,77089,33673,75251,43137,46262,97259,,
,,11372,90043,60607,77091,33674,75007,43251,46266,97271,,
,,11375,90047,60642,77012,33675,75051,43260,46274,97272,,
,,10003,90049,60707,77024,33677,75202,43265,46275,97207,,
,,10016,90062,60654,77071,33679,75001,43266,46277,97208,,
,,10023,91311,60601,77006,33680,75006,43268,46283,97228,,
,,10024,91325,60633,77011,33681,75019,43270,46285,97238,,
,,10027,91326,60661,77019,33682,75032,43271,46291,97240,,
,,10031,90008,60827,77040,33684,75039,43272,46295,97242,,
,,10032,90012,60606,77056,33685,75041,43279,46296,97268,,
,,10033,90028,60007,77002,33686,75043,43287,46298,97269,,
,,10128,90038,60018,77013,33687,75050,43291,46206,97280,,
,,10306,90039,60068,77028,33688,75052,43299,46207,97281,,
,,10312,90046,60106,77085,33689,75060,43002,46230,97282,,
,,10460,91356,60131,77489,33694,75061,43109,46242,97283,,
,,10473,91423,60176,77015,,75062,43216,46244,97286,,
,,11216,91604,60602,77027,,75063,43218,46247,97290,,
,,11225,90023,60603,77031,,75075,43226,46251,97291,,
,,11354,90035,60604,77047,,75080,43234,46253,97292,,
,,11432,90041,60699,77048,,75081,43236,,97293,,
,,11434,90059,60701,77051,,75087,,,97294,,
,,11435,90064,60706,77059,,75088,,,97296,,
,,11691,90291,60714,77078,,75089,,,97298,,
,,10011,91042,60804,77084,,75093,,,,,
,,10028,91303,60290,77098,,75098,,,,,
,,10451,91316,60663,77003,,75104,,,,,
,,10459,91324,60668,77005,,75115,,,,,
,,10461,91364,60669,77030,,75116,,,,,
,,11201,91607,60670,77598,,75126,,,,,
,,11224,90017,60673,77041,,75134,,,,,
,,11237,90068,60674,77044,,75141,,,,,
,,11238,90272,60675,77058,,75149,,,,,
,,11419,90710,60677,77067,,75150,,,,,
,,10019,91307,60678,77029,,75159,,,,,
,,10021,91403,60679,77037,,75166,,,,,
,,10034,91411,60682,77070,,75182,,,,,
,,10040,90015,60684,77396,,75242,,,,,
,,10301,90048,60685,77049,,75245,,,,,
,,10304,90061,60686,77090,,75247,,,,,
,,10305,90501,60687,77336,,75258,,,,,
,,10454,90732,60688,77450,,75260,,,,,
,,10455,91040,60689,77032,,75270,,,,,
,,10465,91345,60693,77038,,75342,,,,,
,,10475,91602,60694,77046,,75398,,,,,
,,11103,90063,60695,77050,,75275,,,,,
,,11106,91436,60696,77064,,75277,,,,,
,,11205,90001,60697,77065,,75283,,,,,
,,11222,90013,60664,77073,,75284,,,,,
,,11228,90230,60666,77083,,75285,,,,,
,,11357,90247,60680,77086,,75286,,,,,
,,11358,90292,60681,77338,,75301,,,,,
,,11365,90293,60690,77477,,75303,,,,,
,,11367,91340,60691,77494,,75310,,,,,
,,11369,90014,,77504,,75312,,,,,
,,11370,90069,,77010,,75320,,,,,
,,11374,90077,,77014,,75323,,,,,
,,11413,90210,,77039,,75326,,,,,
,,11420,90010,,77066,,75353,,,,,
,,11421,90021,,77068,,75358,,,,,
,,10010,90058,,77069,,75363,,,,,
,,10014,90067,,77094,,75364,,,,,
,,10022,90094,,77095,,75368,,,,,
,,10026,90248,,77097,,75373,,,,,
,,10035,90402,,77201,,75386,,,,,
,,10065,91504,,77346,,75387,,,,,
,,10309,90022,,77357,,75388,,,,,
,,11102,90040,,77365,,75389,,,,,
,,11105,90056,,77373,,75390,,,,,
,,11217,90071,,77375,,75391,,,,,
,,11231,90079,,77377,,75392,,,,,
,,11364,90099,,77379,,75393,,,,,
,,11378,90101,,77386,,75394,,,,,
,,11379,90212,,77388,,75395,,,,,
,,11412,90232,,77401,,75396,,,,,
,,11417,90275,,77406,,75397,,,,,
,,11418,90290,,77407,,75221,,,,,
,,11422,90405,,77429,,75222,,,,,
,,11423,90502,,77433,,75250,,,,,
,,11433,90717,,77447,,75261,,,,,
,,10001,90745,,77449,,75262,,,,,
,,10012,90810,,77478,,75263,,,,,
,,10013,90813,,77484,,75264,,,,,
,,10030,91030,,77493,,75265,,,,,
,,10036,91105,,77498,,75266,,,,,
,,10039,91214,,77503,,75267,,,,,
,,10075,91505,,77506,,75313,,,,,
,,10303,91608,,77520,,75315,,,,,
,,10308,90089,,77530,,75334,,,,,
,,10310,91330,,77532,,75336,,,,,
,,10471,90074,,77536,,75339,,,,,
,,11101,90084,,77546,,75340,,,,,
,,11104,90088,,77547,,75343,,,,,
,,11232,90090,,77571,,75344,,,,,
,,11356,90095,,77587,,75354,,,,,
,,11361,90096,,77204,,75355,,,,,
,,11414,90102,,77209,,75356,,,,,
,,11416,90103,,77212,,75357,,,,,
,,11427,90189,,77216,,75359,,,,,
,,11429,91371,,77297,,75360,,,,,
,,10017,90009,,77298,,75367,,,,,
,,10037,90030,,77299,,75370,,,,,
,,10038,90050,,77001,,75371,,,,,
,,10302,90051,,77052,,75372,,,,,
,,10307,90052,,77202,,75374,,,,,
,,10470,90053,,77203,,75376,,,,,
,,10474,90054,,77205,,75378,,,,,
,,11004,90055,,77206,,75379,,,,,
,,11239,90060,,77207,,75380,,,,,
,,11360,90070,,77208,,75381,,,,,
,,11362,90072,,77210,,75382,,,,,
,,11366,90073,,77213,,,,,,,
,,11411,90075,,77215,,,,,,,
,,11415,90076,,77217,,,,,,,
,,11426,90078,,77218,,,,,,,
,,11428,90080,,77219,,,,,,,
,,11436,90081,,77220,,,,,,,
,,11692,90082,,77221,,,,,,,
,,11694,90083,,77222,,,,,,,
,,10005,90086,,77223,,,,,,,
,,10007,90087,,77224,,,,,,,
,,10018,90091,,77225,,,,,,,
,,10044,90093,,77226,,,,,,,
,,10069,,,77227,,,,,,,
,,10280,,,77228,,,,,,,
,,10282,,,77229,,,,,,,
,,10464,,,77230,,,,,,,
,,11001,,,77231,,,,,,,
,,11363,,,77233,,,,,,,
,,11693,,,77234,,,,,,,
,,10004,,,77235,,,,,,,
,,10006,,,77236,,,,,,,
,,10015,,,77237,,,,,,,
,,10020,,,77238,,,,,,,
,,10041,,,77240,,,,,,,
,,10045,,,77241,,,,,,,
,,10048,,,77242,,,,,,,
,,10055,,,77243,,,,,,,
,,10060,,,77244,,,,,,,
,,10090,,,77245,,,,,,,
,,10095,,,77246,,,,,,,
,,10098,,,77247,,,,,,,
,,10099,,,77248,,,,,,,
,,10103,,,77249,,,,,,,
,,10104,,,77250,,,,,,,
,,10105,,,77251,,,,,,,
,,10106,,,77252,,,,,,,
,,10107,,,77253,,,,,,,
,,10110,,,77254,,,,,,,
,,10111,,,77255,,,,,,,
,,10112,,,77256,,,,,,,
,,10115,,,77257,,,,,,,
,,10118,,,77258,,,,,,,
,,10119,,,77259,,,,,,,
,,10120,,,77260,,,,,,,
,,10121,,,77261,,,,,,,
,,10122,,,77262,,,,,,,
,,10123,,,77263,,,,,,,
,,10151,,,77265,,,,,,,
,,10152,,,77266,,,,,,,
,,10153,,,77267,,,,,,,
,,10154,,,77268,,,,,,,
,,10155,,,77269,,,,,,,
,,10158,,,77270,,,,,,,
,,10161,,,77271,,,,,,,
,,10162,,,77272,,,,,,,
,,10165,,,77273,,,,,,,
,,10166,,,77274,,,,,,,
,,10167,,,77275,,,,,,,
,,10168,,,77276,,,,,,,
,,10169,,,77277,,,,,,,
,,10170,,,77278,,,,,,,
,,10171,,,77279,,,,,,,
,,10172,,,77280,,,,,,,
,,10173,,,77282,,,,,,,
,,10174,,,77284,,,,,,,
,,10175,,,77285,,,,,,,
,,10176,,,77286,,,,,,,
,,10177,,,77287,,,,,,,
,,10178,,,77288,,,,,,,
,,10199,,,77289,,,,,,,
,,10200,,,77290,,,,,,,
,,10270,,,77291,,,,,,,
,,10271,,,77292,,,,,,,
,,10278,,,77293,,,,,,,
,,10279,,,77294,,,,,,,
,,10281,,,77296,,,,,,,
,,10311,,,,,,,,,,
,,11003,,,,,,,,,,
,,11005,,,,,,,,,,
,,11040,,,,,,,,,,
,,11109,,,,,,,,,,
,,11351,,,,,,,,,,
,,11359,,,,,,,,,,
,,11371,,,,,,,,,,
,,11430,,,,,,,,,,
,,11697,,,,,,,,,,
,,10043,,,,,,,,,,
,,10046,,,,,,,,,,
,,10047,,,,,,,,,,
,,10072,,,,,,,,,,
,,10079,,,,,,,,,,
,,10080,,,,,,,,,,
,,10081,,,,,,,,,,
,,10082,,,,,,,,,,
,,10087,,,,,,,,,,
,,10094,,,,,,,,,,
,,10096,,,,,,,,,,
,,10102,,,,,,,,,,
,,10109,,,,,,,,,,
,,10114,,,,,,,,,,
,,10117,,,,,,,,,,
,,10124,,,,,,,,,,
,,10125,,,,,,,,,,
,,10126,,,,,,,,,,
,,10130,,,,,,,,,,
,,10131,,,,,,,,,,
,,10132,,,,,,,,,,
,,10133,,,,,,,,,,
,,10138,,,,,,,,,,
,,10149,,,,,,,,,,
,,10157,,,,,,,,,,
,,10160,,,,,,,,,,
,,10164,,,,,,,,,,
,,10179,,,,,,,,,,
,,10184,,,,,,,,,,
,,10196,,,,,,,,,,
,,10197,,,,,,,,,,
,,10203,,,,,,,,,,
,,10211,,,,,,,,,,
,,10212,,,,,,,,,,
,,10213,,,,,,,,,,
,,10256,,,,,,,,,,
,,10257,,,,,,,,,,
,,10258,,,,,,,,,,
,,10259,,,,,,,,,,
,,10260,,,,,,,,,,
,,10261,,,,,,,,,,
,,10265,,,,,,,,,,
,,10269,,,,,,,,,,
,,10273,,,,,,,,,,
,,10275,,,,,,,,,,
,,10277,,,,,,,,,,
,,10285,,,,,,,,,,
,,10286,,,,,,,,,,
,,10292,,,,,,,,,,
,,11425,,,,,,,,,,
,,11451,,,,,,,,,,
,,10008,,,,,,,,,,
,,10101,,,,,,,,,,
,,10108,,,,,,,,,,
,,10113,,,,,,,,,,
,,10116,,,,,,,,,,
